,returns,sigma_short,sigma_long,trans_raw,trans_sm,hurst_raw,hurst,ent_raw,ent_sm,vol_imbalance,es,res_raw,res_sm,alpha_eff,beta_eff,D,sigma_C,sigma_R
2007-01-01,0.0,0.0,1e-08,-1.0,0.6931471805599453,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.6931471805599454,0.2634044624083514,0.2634044724083514
2007-01-02,-0.0013826430117117824,0.0,1e-08,-1.0,0.6931471805599453,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.6931490922616432,0.2634042106331821,0.2634042206331821
2007-01-03,0.006476885381007028,0.0,1e-08,-1.0,0.6931471805599453,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.693189130604184,0.2633989375948966,0.26339894759489657
2007-01-04,0.015230298564080171,0.0,1e-08,-1.0,0.6931471805599453,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.693379142554296,0.2633739155830878,0.2633739255830878
2007-01-05,-0.0023415337472333653,0.0,1e-08,-1.0,0.6931471805599453,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.6931526633402347,0.26340374031567887,0.26340375031567886
2007-01-08,-0.002341369569491827,0.0,1e-08,-1.0,0.6931471805599453,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.693152662571406,0.2634037404169349,0.26340375041693487
2007-01-09,0.01579212815507396,0.0,1e-08,-1.0,0.6931471805599453,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.6933965718716117,0.26337162058440977,0.26337163058440977
2007-01-10,0.007674347291528958,0.0,1e-08,-1.0,0.6931471805599453,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.6932060761662964,0.2633967059246049,0.2633967159246049
2007-01-11,-0.004694743859349379,0.0,1e-08,-1.0,0.6931471805599453,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.69316922117985,0.2634015596374057,0.2634015696374057
2007-01-12,0.00542560043585979,0.00736235816580163,1e-08,736234.816580163,1.2613965446394204,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.26142598177951,0.14547462063291122,0.14547463063291122
2007-01-15,-0.004634176928124803,0.007775253213911233,1e-08,777524.3213911232,1.6402294540257372,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6402509296215384,0.09520869622798825,0.09520870622798824
2007-01-16,-0.004657297535702648,0.008068141408037991,1e-08,806813.1408037991,1.8927847269499485,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.8928064173702843,0.07097689213543566,0.07097690213543566
2007-01-17,0.002419622715660239,0.007986254408867301,1e-08,798624.4408867301,2.0611549088994225,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0611607634735085,0.05808829957611137,0.058088309576111365
2007-01-18,-0.019132802446577887,0.009319047917251844,1e-08,931903.7917251844,2.1734016968657386,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.173767760995198,0.05071578024193783,0.050715790241937835
2007-01-19,-0.017249178325130336,0.010708660450053085,1e-08,1070865.0450053085,2.2482328888432828,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.248530422996175,0.04629645922657762,0.046296469226577625
2007-01-22,-0.005622875292409796,0.010765650716807821,1e-08,1076564.0716807821,2.2981203501616454,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.2981519668882,0.04355513618909381,0.04355514618909381
2007-01-23,-0.010128311203344235,0.008826459740836947,1e-08,882644.9740836947,2.3313786577072206,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.3314812403950524,0.0418064470468756,0.0418064570468756
2007-01-24,0.003142473325952768,0.008193634867741427,1e-08,819362.4867741427,2.3535508627376043,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.353560737876209,0.04067979477096881,0.04067980477096881
2007-01-25,-0.009080240755212127,0.008262040337082971,1e-08,826203.0337082971,2.36833233275786,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.368414783530032,0.039941674822193914,0.039941684822193915
2007-01-26,-0.014123037013352874,0.0075532474863138615,1e-08,755323.7486313861,2.378186646104697,0.5,0.5,0.6796233842530532,0.9694879413574337,-0.0066975116662941715,0.0,0.0,0.0,1.0,1.0,4.3479189042991315,0.040062898982573744,0.040062908982573746
2007-01-29,0.014656487689215476,0.010406378633404533,1e-08,1040636.8633404532,2.384756188335922,0.5,0.5,0.8263899989392207,0.9558595658890324,0.35218162505650114,0.0,0.0,0.0,1.0,1.0,4.464862463883777,0.037616205832662675,0.037616215832662676
2007-01-30,-0.0022577630048653224,0.01046768707740699,1e-08,1046767.707740699,2.3891358831567384,0.5,0.5,0.8437591135011362,0.9451833323282804,0.2045110989540884,0.0,0.0,0.0,1.0,1.0,4.376149102574214,0.039181387047994634,0.039181397047994636
2007-01-31,0.0006752820468791386,0.010330283889281238,1e-08,1033027.3889281237,2.392055679703949,0.5,0.5,0.9068426290035205,0.9415318367735415,0.06102296914049435,0.0,0.0,0.0,1.0,1.0,4.3373117752460555,0.03986995372555559,0.03986996372555559
2007-02-01,-0.014247481862134448,0.009733886158396642,1e-08,973387.6158396641,2.3940022107354233,0.5,0.5,0.925697574506978,0.9400238117957735,-0.20306626320199306,0.0,0.0,0.0,1.0,1.0,4.37546492052143,0.03905432267357114,0.03905433267357114
2007-02-02,-0.005443827245251885,0.008812573921060296,1e-08,881256.3921060297,2.395299898089739,0.5,0.5,0.9138136605781226,0.937527606917902,0.08140831155017249,0.0,0.0,0.0,1.0,1.0,4.339484453452167,0.039731422205592844,0.039731432205592845
2007-02-05,0.0011092258970987236,0.008951488567210692,1e-08,895147.8567210692,2.3961650229926166,0.5,0.5,0.9206343837283849,0.9359187285189005,0.21320541159339568,0.0,0.0,0.0,1.0,1.0,4.377541529426317,0.03895138879873843,0.038951398798738435
2007-02-06,-0.011509935774223096,0.009073792234411144,1e-08,907378.2234411144,2.396741772927868,0.5,0.5,0.8919814343954706,0.9317342243166691,-0.059899347225581545,0.0,0.0,0.0,1.0,1.0,4.332196407664115,0.03983633413789085,0.039836344137890854
2007-02-07,0.003756980183456744,0.009127263108534062,1e-08,912725.3108534062,2.3971262728847025,0.5,0.5,0.8451715529360398,0.9234901603756568,0.25922704435464405,0.0,0.0,0.0,1.0,1.0,4.387829208685303,0.03872339735260349,0.03872340735260349
2007-02-08,-0.006006386899187943,0.008974411972131053,1e-08,897440.1972131053,2.3973826061892587,0.5,0.5,0.8351102831313455,0.9150730292095319,0.24355189150888462,0.0,0.0,0.0,1.0,1.0,4.371809235939929,0.039028672908019514,0.039028682908019516
2007-02-09,-0.0029169374979329606,0.008138978027450186,1e-08,813896.8027450186,2.397553495058963,0.5,0.5,0.8227366855950647,0.9062790917224398,0.2845950466588486,0.0,0.0,0.0,1.0,1.0,4.3848354358885215,0.03876930481210848,0.038769314812108484
2007-02-12,-0.006017066122293903,0.005608660398184085,1e-08,560865.0398184085,2.397667420972099,0.5,0.5,0.821361420458452,0.8981916944592029,0.016760733005864906,0.0,0.0,0.0,1.0,1.0,4.296176242686916,0.04054690978640169,0.040546919786401694
2007-02-13,0.0185227818450893,0.00916544620706435,1e-08,916543.6207064351,2.3977433715808565,0.5,0.5,0.8321031957693384,0.8918975517268348,0.07604965903702128,0.0,0.0,0.0,1.0,1.0,4.295767567394619,0.04055314722563183,0.04055315722563183
